A;003;20040116 12:19;PDANN;
B;003;25440;1;20040116 12:19;;;21;ADELAIDE ST;EAST GOSFORD;2250;607;M;20030903;20031203;820000;A;R;RESIDENCE;;ML;;0;AA300977;
C;003;25440;1;20040116 12:19;7//35849;
D;003;25440;1;20040116 12:19;P;;;;;;
D;003;25440;1;20040116 12:19;P;;;;;;
D;003;25440;1;20040116 12:19;P;;;;;;
D;003;25440;1;20040116 12:19;V;;;;;;
D;003;25440;1;20040116 12:19;V;;;;;;
B;003;25441;2;20040116 12:19;;;23;ADELAIDE ST;EAST GOSFORD;2250;556.4;M;20030903;20031203;820000;A;R;RESIDENCE;;ML;;0;AA300977;
C;003;25441;2;20040116 12:19;8//35849;
D;003;25441;2;20040116 12:19;P;;;;;;
D;003;25441;2;20040116 12:19;P;;;;;;
D;003;25441;2;20040116 12:19;P;;;;;;
D;003;25441;2;20040116 12:19;V;;;;;;
B;003;26090;3;20040116 12:19;;;211;ALBANY NORTH ST;GOSFORD;2250;696.8;M;20031017;20031128;145000;B;R;RESIDENCE;;CC;;0;AA301883;
C;003;26090;3;20040116 12:19;1//735810;
D;003;26090;3;20040116 12:19;P;;;;;;
D;003;26090;3;20040116 12:19;P;;;;;;
D;003;26090;3;20040116 12:19;V;;;;;;
D;003;26090;3;20040116 12:19;V;;;;;;
B;003;26502;4;20040116 12:19;;;13;ALGWEN RD;NORTH GOSFORD;2250;632.3;M;20031027;20031215;292000;A;R;RESIDENCE;;FC;;0;AA286054;
C;003;26502;4;20040116 12:19;24//242881;
D;003;26502;4;20040116 12:19;P;;;;;;
D;003;26502;4;20040116 12:19;V;;;;;;
B;003;26536;5;20040116 12:19;;;25;ALISON RD;SPRINGFIELD;2250;853.6;M;20031103;20031215;325000;A;R;RESIDENCE;;FG;;0;AA312170;
C;003;26536;5;20040116 12:19;19//240190;
D;003;26536;5;20040116 12:19;P;;;;;;
D;003;26536;5;20040116 12:19;V;;;;;;
B;003;26660;6;20040116 12:19;;;39;ALLANDALE RD;GREEN POINT;2251;705;M;20030911;20031113;557000;A;R;RESIDENCE;;FJ;;0;AA294568;
C;003;26660;6;20040116 12:19;429//838906;
D;003;26660;6;20040116 12:19;P;;;;;;
D;003;26660;6;20040116 12:19;V;;;;;;
B;003;26845;7;20040116 12:19;;1;2;ALPHA RD;WOY WOY;2256;;;20031030;20031211;345000;;3;UNIT;1;;;0;AA287763;
C;003;26845;7;20040116 12:19;1//SP 58295;
D;003;26845;7;20040116 12:19;P;;;;;;
D;003;26845;7;20040116 12:19;P;;;;;;
D;003;26845;7;20040116 12:19;V;;;;;;
B;003;26939;8;20040116 12:19;;;2;AMAROO CL;GREEN POINT;2251;645;M;20031028;20031209;485000;A;R;RESIDENCE;;FJ;;0;AA287342;
C;003;26939;8;20040116 12:19;16//243415;
D;003;26939;8;20040116 12:19;P;;;;;;
D;003;26939;8;20040116 12:19;P;;;;;;
D;003;26939;8;20040116 12:19;V;;;;;;
D;003;26939;8;20040116 12:19;V;;;;;;
B;003;27243;9;20040116 12:19;;;68;ANNIVERSARY AVE;TERRIGAL;2260;615.6;M;20031001;20031202;455000;A;R;RESIDENCE;;FQ;;0;AA282354;
C;003;27243;9;20040116 12:19;8//247059;
D;003;27243;9;20040116 12:19;P;;;;;;
D;003;27243;9;20040116 12:19;P;;;;;;
D;003;27243;9;20040116 12:19;V;;;;;;
