A;061;20050104 11:39;MASMITH;
B;061;533102;1;20050104 11:39;;;;GEORGE ST;OLD JUNEE;2652;2024;M;20041015;20041201;19500;Z;V;VACANT LAND;;ZJ;AV;0;AB151277;
C;061;533102;1;20050104 11:39;11, 12/4/1792;
D;061;533102;1;20050104 11:39;P;;;;;;
D;061;533102;1;20050104 11:39;P;;;;;;
D;061;533102;1;20050104 11:39;V;;;;;;
B;061;2871351;2;20050104 11:39;;;;LOUGHAN RD;JUNEE;2663;7142;M;20041111;20041208;43000;Z;V;VACANT LAND;;ZA;;0;AB168031;
C;061;2871351;2;20050104 11:39;14/1035451;
D;061;2871351;2;20050104 11:39;P;;;;;;
D;061;2871351;2;20050104 11:39;P;;;;;;
D;061;2871351;2;20050104 11:39;V;;;;;;
B;061;3065978;3;20050104 11:39;;;;JOHN POTTS DR;JUNEE;2663;980;M;20041126;20041126;38000;Z;V;VACANT LAND;;ZA;;0;AB173543;
C;061;3065978;3;20050104 11:39;22/1064177;
D;061;3065978;3;20050104 11:39;P;;;;;;
D;061;3065978;3;20050104 11:39;V;;;;;;
Z;16;3;3;8;
