A;102;20040202 11:46;PTHIRLWELL;
B;102;1107422;1;20040202 11:46;;;67;BENDOOLEY ST;BOWRAL;2576;9105;M;20030730;20031212;840000;A;R;RESIDENCE;;NC;;0;AA346940;
C;102;1107422;1;20040202 11:46;2//313891;
D;102;1107422;1;20040202 11:46;P;;;;;;
D;102;1107422;1;20040202 11:46;P;;;;;;
D;102;1107422;1;20040202 11:46;V;;;;;;
B;102;1107628;2;20040202 11:46;;;;BERRIMA RD;MOSS VALE;2577;1289;M;20031201;20031212;240000;A;R;RESIDENCE;;EB;;0;AA339332;
C;102;1107628;2;20040202 11:46;52//714382;
D;102;1107628;2;20040202 11:46;P;;;;;;
D;102;1107628;2;20040202 11:46;V;;;;;;
D;102;1107628;2;20040202 11:46;V;;;;;;
B;102;1108026;3;20040202 11:46;;;43;BOARDMAN RD;BOWRAL;2576;922;M;20031104;20031216;480000;A;R;RESIDENCE;;NA;;0;AA322330;
C;102;1108026;3;20040202 11:46;439//881753;
D;102;1108026;3;20040202 11:46;P;;;;;;
D;102;1108026;3;20040202 11:46;P;;;;;;
D;102;1108026;3;20040202 11:46;V;;;;;;
D;102;1108026;3;20040202 11:46;V;;;;;;
B;102;1108843;4;20040202 11:46;;;10;BRISBANE ST;NEW BERRIMA;2577;695.6;M;20031121;20031218;170000;Z;R;RESIDENCE;;DR;;0;AA336679;
C;102;1108843;4;20040202 11:46;330//15995;
D;102;1108843;4;20040202 11:46;P;;;;;;
D;102;1108843;4;20040202 11:46;V;;;;;;
B;102;1109689;5;20040202 11:46;KERISDALE;;;CENTENNIAL RD;BOWRAL;2576;4594;M;20031218;20031218;386400;A;3;SCHOOL;;NE;;0;AA336410;
C;102;1109689;5;20040202 11:46;4//1000259;
D;102;1109689;5;20040202 11:46;P;;;;;;
D;102;1109689;5;20040202 11:46;V;;;;;;
B;102;1109931;6;20040202 11:46;;;18;CHERRY TREE CL;MOSS VALE;2577;973.9;M;20030321;20030502;272500;A;R;RESIDENCE;;EA;;0;AA339198;
C;102;1109931;6;20040202 11:46;18//263656;
D;102;1109931;6;20040202 11:46;P;;;;;;
D;102;1109931;6;20040202 11:46;P;;;;;;
D;102;1109931;6;20040202 11:46;V;;;;;;
D;102;1109931;6;20040202 11:46;V;;;;;;
B;102;1110135;7;20040202 11:46;"THE CLARENCE";5;3;CLARENCE ST;MOSS VALE;2577;;;20031031;20031203;205000;;3;UNIT;5;;;0;AA332283;
C;102;1110135;7;20040202 11:46;5//SP 52818;
D;102;1110135;7;20040202 11:46;P;;;;;;
D;102;1110135;7;20040202 11:46;V;;;;;;
D;102;1110135;7;20040202 11:46;V;;;;;;
