A;138;20040901 11:25;PDANN;
B;138;1399845;1;20040901 11:25;;;12;ALFRED ST;CLEMTON PARK;2206;;;20040710;20040811;490000;A;R;RESIDENCE;;XK;;0;AA890182;
C;138;1399845;1;20040901 11:25;1/16269;
D;138;1399845;1;20040901 11:25;P;;;;;;
D;138;1399845;1;20040901 11:25;V;;;;;;
B;138;1400222;2;20040901 11:25;;10;15;ALICE ST;WILEY PARK;2195;;;20040709;20040818;190000;;R;RESIDENCE;10;;;0;AA903331;
C;138;1400222;2;20040901 11:25;10/SP 18261;
D;138;1400222;2;20040901 11:25;P;;;;;;
D;138;1400222;2;20040901 11:25;V;;;;;;
D;138;1400222;2;20040901 11:25;V;;;;;;
B;138;1400699;3;20040901 11:25;;9;22;ANDERSON ST;BELMORE;2192;;;20040520;20040618;290000;;R;RESIDENCE;9;;;0;AA892514;
C;138;1400699;3;20040901 11:25;9/SP 8114;
D;138;1400699;3;20040901 11:25;P;;;;;;
D;138;1400699;3;20040901 11:25;V;;;;;;
D;138;1400699;3;20040901 11:25;V;;;;;;
B;138;1401080;4;20040901 11:25;;;70;ARMITREE ST;KINGSGROVE;2208;;;20040531;20040805;510000;A;R;RESIDENCE;;XR;;0;AA872781;
C;138;1401080;4;20040901 11:25;163/14705;
D;138;1401080;4;20040901 11:25;P;;;;;;
D;138;1401080;4;20040901 11:25;P;;;;;;
D;138;1401080;4;20040901 11:25;V;;;;;;
D;138;1401080;4;20040901 11:25;V;;;;;;
B;138;1402152;5;20040901 11:25;;;48;BARREMMA RD;LAKEMBA;2195;455.3;M;20040427;20040728;290000;A;R;RESIDENCE;;AB;;0;AA861597;
C;138;1402152;5;20040901 11:25;B/393850;
D;138;1402152;5;20040901 11:25;P;;;;;;
D;138;1402152;5;20040901 11:25;V;;;;;;
B;138;1402856;6;20040901 11:25;;;322;BEAMISH ST;CAMPSIE;2194;;;20040615;20040810;950000;A;R;RESIDENCE;;MB;;0;AA889646;
C;138;1402856;6;20040901 11:25;138/4357;
D;138;1402856;6;20040901 11:25;P;;;;;;
D;138;1402856;6;20040901 11:25;P;;;;;;
D;138;1402856;6;20040901 11:25;V;;;;;;
B;138;1403110;7;20040901 11:25;;;69;BEDFORD ST;EARLWOOD;2206;;;20040705;20040816;477000;A;R;RESIDENCE;;XF;;0;AA899873;
C;138;1403110;7;20040901 11:25;83/78121;
D;138;1403110;7;20040901 11:25;P;;;;;;
D;138;1403110;7;20040901 11:25;V;;;;;;
D;138;1403110;7;20040901 11:25;V;;;;;;
D;138;1403110;7;20040901 11:25;V;;;;;;
B;138;1404023;8;20040901 11:25;;1;195;BEXLEY RD;EARLWOOD;2206;;;20040707;20040812;215000;;R;RESIDENCE;9;;;0;AA899342;
C;138;1404023;8;20040901 11:25;9/SP 1652;
D;138;1404023;8;20040901 11:25;P;;;;;;
D;138;1404023;8;20040901 11:25;V;;;;;;
B;138;1404023;9;20040901 11:25;;1;195;BEXLEY RD;EARLWOOD;2206;;;20040707;20040812;215000;;R;RESIDENCE;1;;;0;AA899342;
C;138;1404023;9;20040901 11:25;1/SP 1652;
D;138;1404023;9;20040901 11:25;P;;;;;;
D;138;1404023;9;20040901 11:25;V;;;;;;
B;138;1405679;10;20040901 11:25;;7;10;BROUGHTON ST;CANTERBURY;2193;;;20040702;20040806;405000;;R;RESIDENCE;7;;;0;AA883642;
C;138;1405679;10;20040901 11:25;7/SP 50834;
D;138;1405679;10;20040901 11:25;P;;;;;;
D;138;1405679;10;20040901 11:25;P;;;;;;
D;138;1405679;10;20040901 11:25;V;;;;;;
D;138;1405679;10;20040901 11:25;V;;;;;;
B;138;1406085;11;20040901 11:25;;;1;BURNHAM ST;BELFIELD;2191;354.1;M;20040617;20040730;408000;A;R;RESIDENCE;;XM;;0;AA904710;
C;138;1406085;11;20040901 11:25;F/14615;
D;138;1406085;11;20040901 11:25;P;;;;;;
D;138;1406085;11;20040901 11:25;P;;;;;;
D;138;1406085;11;20040901 11:25;V;;;;;;
D;138;1406085;11;20040901 11:25;V;;;;;;
B;138;1406154;12;20040901 11:25;;;35;BURNS ST;CAMPSIE;2194;263.8;M;20040817;20040817;540000;A;R;RESIDENCE;;MB;;0;AA904873;
C;138;1406154;12;20040901 11:25;1/882032;
D;138;1406154;12;20040901 11:25;P;;;;;;
D;138;1406154;12;20040901 11:25;P;;;;;;
D;138;1406154;12;20040901 11:25;P;;;;;;
D;138;1406154;12;20040901 11:25;P;;;;;;
D;138;1406154;12;20040901 11:25;V;;;;;;
B;138;1406528;13;20040901 11:25;;13;326;BURWOOD RD;BELMORE;2192;;;20040617;20040729;248000;;R;RESIDENCE;13;;;0;AA880840;
C;138;1406528;13;20040901 11:25;13/SP 16819;
D;138;1406528;13;20040901 11:25;P;;;;;;
D;138;1406528;13;20040901 11:25;V;;;;;;
D;138;1406528;13;20040901 11:25;V;;;;;;
B;138;1407271;14;20040901 11:25;;6;25;CANTERBURY RD;CANTERBURY;2193;;;20040716;20040813;218000;;R;RESIDENCE;6;;;0;AA891831;
C;138;1407271;14;20040901 11:25;6/SP 60243;
D;138;1407271;14;20040901 11:25;P;;;;;;
