A;011;20050117 11:03;PBARBER;
B;011;292728;1;20050117 11:03;;;107;GRAEME ST;ABERDEEN;2336;1200;M;20041112;20041210;230000;A;R;RESIDENCE;;AA;;0;AB194672;
C;011;292728;1;20050117 11:03;1/261048;
D;011;292728;1;20050117 11:03;P;;;;;;
D;011;292728;1;20050117 11:03;P;;;;;;
D;011;292728;1;20050117 11:03;V;;;;;;
B;011;292729;2;20050117 11:03;;;105;GRAEME ST;ABERDEEN;2336;1178;M;20041122;20041220;90000;A;R;RESIDENCE;;AA;;0;AB180119;
C;011;292729;2;20050117 11:03;2/261048;
D;011;292729;2;20050117 11:03;P;;;;;;
D;011;292729;2;20050117 11:03;P;;;;;;
D;011;292729;2;20050117 11:03;V;;;;;;
B;011;293329;3;20050117 11:03;;;;MOOBI RD;SCONE;2337;47;H;20041202;20041213;575000;R;R;RESIDENCE;;HL;;0;AB184975;
C;011;293329;3;20050117 11:03;69/750950;
D;011;293329;3;20050117 11:03;P;;;;;;
D;011;293329;3;20050117 11:03;P;;;;;;
D;011;293329;3;20050117 11:03;V;;;;;;
B;011;293679;4;20050117 11:03;;;8;EVELEIGH CT;SCONE;2337;696;M;20041214;20041222;37000;A;R;RESIDENCE;;AW;;0;AB188306;
C;011;293679;4;20050117 11:03;8/701858;
D;011;293679;4;20050117 11:03;P;;;;;;
D;011;293679;4;20050117 11:03;V;;;;;;
B;011;294295;5;20050117 11:03;;;15;MCLOUGHLIN ST;SCONE;2337;807.7;M;20041110;20041223;143000;I;3;COMMERCIAL;;WS;;0;AB194150;
C;011;294295;5;20050117 11:03;28/249450;
D;011;294295;5;20050117 11:03;P;;;;;;
D;011;294295;5;20050117 11:03;P;;;;;;
D;011;294295;5;20050117 11:03;V;;;;;;
B;011;294329;6;20050117 11:03;;7;6;MAIN ST;SCONE;2337;;;20041201;20041223;128000;;R;RESIDENCE;7;;;0;AB205759;
C;011;294329;6;20050117 11:03;7/SP20007;
D;011;294329;6;20050117 11:03;P;;;;;;
D;011;294329;6;20050117 11:03;V;;;;;;
B;011;294497;7;20050117 11:03;;;5;NYARRA ST;SCONE;2337;831.9;M;20041122;20041222;280000;A;R;RESIDENCE;;AS;;0;AB182231;
C;011;294497;7;20050117 11:03;3/865580;
D;011;294497;7;20050117 11:03;P;;;;;;
D;011;294497;7;20050117 11:03;V;;;;;;
D;011;294497;7;20050117 11:03;V;;;;;;
B;011;294716;8;20050117 11:03;;;38;PARKER ST;SCONE;2337;1012;M;20041112;20041221;210000;A;R;RESIDENCE;;AW;;0;AB191713;
C;011;294716;8;20050117 11:03;42/5417;
D;011;294716;8;20050117 11:03;P;;;;;;
D;011;294716;8;20050117 11:03;V;;;;;;
B;011;2918532;9;20050117 11:03;;;46 B;HILL ST;SCONE;2337;828.5;M;20041117;20041222;70000;A;V;VACANT LAND;;AW;;0;AB189033;
C;011;2918532;9;20050117 11:03;214/1042234;
D;011;2918532;9;20050117 11:03;P;;;;;;
D;011;2918532;9;20050117 11:03;P;;;;;;
D;011;2918532;9;20050117 11:03;V;;;;;;
D;011;2918532;9;20050117 11:03;V;;;;;;
D;011;2918532;9;20050117 11:03;V;;;;;;
D;011;2918532;9;20050117 11:03;V;;;;;;
B;011;3113140;10;20050117 11:03;;;26;KOOKABURRA AVE;SCONE;2337;2669;M;20041129;20041224;90000;R;V;VACANT LAND;;HS;;0;AB188294;
C;011;3113140;10;20050117 11:03;29/1071696;
D;011;3113140;10;20050117 11:03;P;;;;;;
D;011;3113140;10;20050117 11:03;P;;;;;;
D;011;3113140;10;20050117 11:03;V;;;;;;
B;011;3144352;11;20050117 11:03;;;33;CAMPBELL ST;ABERDEEN;2336;1.494;H;20041101;20041220;181500;;V;VACANT LAND;;;;0;AB198144;
C;011;3144352;11;20050117 11:03;301/1071121;
D;011;3144352;11;20050117 11:03;P;;;;;;
D;011;3144352;11;20050117 11:03;P;;;;;;
D;011;3144352;11;20050117 11:03;V;;;;;;
D;011;3144352;11;20050117 11:03;V;;;;;;
Z;58;11;11;34;
