A;209;20090706 01:32;VALNET;
B;209;2056125;1;20090706 01:32;;61;136;CURLEWIS ST;BONDI BEACH;2026;;;20090428;20090609;1900000;;3;COMMERCIAL;61;;;0;AE763783;
C;209;2056125;1;20090706 01:32;61/SP11959;
D;209;2056125;1;20090706 01:32;P;;;;;;
D;209;2056125;1;20090706 01:32;V;;;;;;
B;209;2056125;2;20090706 01:32;;64;136;CURLEWIS ST;BONDI BEACH;2026;;;20090428;20090609;1900000;;3;COMMERCIAL;64;;;0;AE763783;
C;209;2056125;2;20090706 01:32;64/SP11959;
D;209;2056125;2;20090706 01:32;P;;;;;;
D;209;2056125;2;20090706 01:32;V;;;;;;
D;209;2056125;2;20090706 01:32;V;;;;;;
B;209;2056125;3;20090706 01:32;;116;136;CURLEWIS ST;BONDI BEACH;2026;;;20090428;20090609;1900000;;3;COMMERCIAL;116;;;0;AE763783;
C;209;2056125;3;20090706 01:32;116/SP11959;
D;209;2056125;3;20090706 01:32;P;;;;;;
D;209;2056125;3;20090706 01:32;V;;;;;;
D;209;2056125;3;20090706 01:32;V;;;;;;
B;209;2056125;4;20090706 01:32;;117;136;CURLEWIS ST;BONDI BEACH;2026;;;20090428;20090609;1900000;;3;COMMERCIAL;117;;;0;AE763783;
C;209;2056125;4;20090706 01:32;117/SP11959;
D;209;2056125;4;20090706 01:32;P;;;;;;
D;209;2056125;4;20090706 01:32;V;;;;;;
D;209;2056125;4;20090706 01:32;V;;;;;;
B;209;2056125;5;20090706 01:32;;118;136;CURLEWIS ST;BONDI BEACH;2026;;;20090428;20090609;1900000;;3;COMMERCIAL;118;;;0;AE763783;
C;209;2056125;5;20090706 01:32;118/SP11959;
D;209;2056125;5;20090706 01:32;P;;;;;;
D;209;2056125;5;20090706 01:32;V;;;;;;
D;209;2056125;5;20090706 01:32;V;;;;;;
B;209;2056125;6;20090706 01:32;;124;136;CURLEWIS ST;BONDI BEACH;2026;;;20090428;20090609;1900000;;3;COMMERCIAL;124;;;0;AE763783;
C;209;2056125;6;20090706 01:32;124/SP39450;
D;209;2056125;6;20090706 01:32;P;;;;;;
D;209;2056125;6;20090706 01:32;V;;;;;;
D;209;2056125;6;20090706 01:32;V;;;;;;
B;209;2059259;7;20090706 01:32;;8;43;FRANCIS ST;BONDI BEACH;2026;;;20090507;20090616;390000;;R;RESIDENCE;8;;;0;AE764788;
C;209;2059259;7;20090706 01:32;8/SP11941;
D;209;2059259;7;20090706 01:32;P;;;;;;
D;209;2059259;7;20090706 01:32;V;;;;;;
D;209;2059259;7;20090706 01:32;V;;;;;;
B;209;2054402;8;20090706 01:32;;6;102;CAMPBELL PDE;BONDI BEACH;2026;;;20090421;20090618;502000;;R;RESIDENCE;6;;;0;AE773612;
C;209;2054402;8;20090706 01:32;6/SP49165;
D;209;2054402;8;20090706 01:32;P;;;;;;
D;209;2054402;8;20090706 01:32;V;;;;;;
B;209;2054705;9;20090706 01:32;;;25;CAMPBELL ST;WAVERLEY;2024;271.9;M;20090409;20090615;1187500;A;R;RESIDENCE;;CM;;0;AE764367;
C;209;2054705;9;20090706 01:32;1/200996;
D;209;2054705;9;20090706 01:32;P;;;;;;
D;209;2054705;9;20090706 01:32;P;;;;;;
D;209;2054705;9;20090706 01:32;V;;;;;;
B;209;2060353;10;20090706 01:32;;29;177;GLENAYR AVE;BONDI BEACH;2026;;;20090430;20090618;473500;;R;RESIDENCE;29;;;0;AE771213;
C;209;2060353;10;20090706 01:32;29/SP11161;
D;209;2060353;10;20090706 01:32;P;;;;;;
D;209;2060353;10;20090706 01:32;P;;;;;;
D;209;2060353;10;20090706 01:32;V;;;;;;
D;209;2060353;10;20090706 01:32;V;;;;;;
B;209;2060353;11;20090706 01:32;;32;177;GLENAYR AVE;BONDI BEACH;2026;;;20090409;20090521;275000;;R;RESIDENCE;32;;;0;AE758625;
C;209;2060353;11;20090706 01:32;32/SP11161;
D;209;2060353;11;20090706 01:32;P;;;;;;
D;209;2060353;11;20090706 01:32;V;;;;;;
B;209;2052503;12;20090706 01:32;;;36;BOURKE ST;QUEENS PARK;2022;419.25;M;20090416;20090618;3250000;A;R;RESIDENCE;;CN;;0;AE774755;
C;209;2052503;12;20090706 01:32;2/437944;
D;209;2052503;12;20090706 01:32;P;;;;;;
D;209;2052503;12;20090706 01:32;P;;;;;;
D;209;2052503;12;20090706 01:32;V;;;;;;
B;209;2057829;13;20090706 01:32;;12;108;EBLEY ST;BONDI JUNCTION;2022;;;20090409;20090525;200000;;R;RESIDENCE;12;;;0;AE768363;
C;209;2057829;13;20090706 01:32;12/SP22095;
D;209;2057829;13;20090706 01:32;P;;;;;;
D;209;2057829;13;20090706 01:32;V;;;;;;
D;209;2057829;13;20090706 01:32;V;;;;;;
D;209;2057829;13;20090706 01:32;V;;;;;;
B;209;2060521;14;20090706 01:32;;;34;GOULD ST N;NORTH BONDI;2026;199.9;M;20090407;20090519;943000;A;R;RESIDENCE;;CD;;0;AE771498;
C;209;2060521;14;20090706 01:32;2/819365;
D;209;2060521;14;20090706 01:32;P;;;;;;
D;209;2060521;14;20090706 01:32;P;;;;;;
D;209;2060521;14;20090706 01:32;V;;;;;;
B;209;2050083;15;20090706 01:32;;21;36;BENNETT ST;BONDI;2026;;;20090419;20090601;575000;;R;RESIDENCE;21;;;0;AE757774;
C;209;2050083;15;20090706 01:32;21/SP5132;
D;209;2050083;15;20090706 01:32;P;;;;;;
D;209;2050083;15;20090706 01:32;V;;;;;;
D;209;2050083;15;20090706 01:32;V;;;;;;
B;209;2066339;16;20090706 01:32;;6;57;MITCHELL ST;BONDI BEACH;2026;;;20090418;20090529;532000;;R;RESIDENCE;6;;;0;AE756805;
C;209;2066339;16;20090706 01:32;6/SP5648;
D;209;2066339;16;20090706 01:32;P;;;;;;
D;209;2066339;16;20090706 01:32;V;;;;;;
B;209;2068998;17;20090706 01:32;;18;211;OLD SOUTH HEAD RD;BONDI;2026;;;20090505;20090612;437000;;R;RESIDENCE;18;;;0;AE774169;
C;209;2068998;17;20090706 01:32;18/SP13490;
D;209;2068998;17;20090706 01:32;P;;;;;;
D;209;2068998;17;20090706 01:32;V;;;;;;
B;209;2074682;18;20090706 01:32;;12;52 A;SIR THOMAS MITCHELL RD;BONDI BEACH;2026;;;20090403;20090508;410000;;R;RESIDENCE;12;;;0;AE755517;
C;209;2074682;18;20090706 01:32;12/SP15052;
D;209;2074682;18;20090706 01:32;P;;;;;;
D;209;2074682;18;20090706 01:32;P;;;;;;
D;209;2074682;18;20090706 01:32;V;;;;;;
B;209;2077428;19;20090706 01:32;;;136;WELLINGTON ST;BONDI BEACH;2026;215;M;20090501;20090529;1520000;A;R;RESIDENCE;;CF;;0;AE757371;
C;209;2077428;19;20090706 01:32;A/441418;
D;209;2077428;19;20090706 01:32;P;;;;;;
D;209;2077428;19;20090706 01:32;P;;;;;;
D;209;2077428;19;20090706 01:32;V;;;;;;
B;209;2071989;20;20090706 01:32;;11;73;PENKIVIL ST;BONDI;2026;;;20090506;20090617;775000;;R;RESIDENCE;11;;;0;AE771029;
C;209;2071989;20;20090706 01:32;11/SP14541;
D;209;2071989;20;20090706 01:32;P;;;;;;
