A;187;20110530 06:36;VALNET;
B;187;3549237;1;20110530 06:36;;;;BABBINBOON RD;PIALLAWAY;2342;4.324;H;20100812;20100915;2837;;V;VACANT LAND;;;;0;AG92366;
C;187;3549237;1;20110530 06:36;;
D;187;3549237;1;20110530 06:36;P;;;;;;
D;187;3549237;1;20110530 06:36;V;;;;;;
B;187;3534888;2;20110530 06:36;;;;KAMILAROI RD;GUNNEDAH;2380;1.032;H;20100526;20100910;171000;R;V;VACANT LAND;;FA;;0;AF766412;
C;187;3534888;2;20110530 06:36;20/1153088;
D;187;3534888;2;20110530 06:36;P;;;;;;
D;187;3534888;2;20110530 06:36;P;;;;;;
D;187;3534888;2;20110530 06:36;V;;;;;;
B;187;3534892;3;20110530 06:36;;;;KAMILAROI RD;GUNNEDAH;2380;1.284;H;20101118;20101223;161000;R;V;VACANT LAND;;FA;;0;AG42126;
C;187;3534892;3;20110530 06:36;24/1153088;
D;187;3534892;3;20110530 06:36;P;;;;;;
D;187;3534892;3;20110530 06:36;P;;;;;;
D;187;3534892;3;20110530 06:36;V;;;;;;
B;187;3171056;4;20110530 06:36;;;295;HUNTS RD;GUNNEDAH;2380;2.011;H;20110325;20110422;390000;R;R;RESIDENCE;;FA;;0;AG239814;
C;187;3171056;4;20110530 06:36;2/861697;
D;187;3171056;4;20110530 06:36;P;;;;;;
D;187;3171056;4;20110530 06:36;P;;;;;;
D;187;3171056;4;20110530 06:36;V;;;;;;
D;187;3171056;4;20110530 06:36;V;;;;;;
Z;22;4;4;12;
