A;RTSALEDATA;052;20130520 01:16;VALNET;
B;052;510483;1;20130520 01:16;;;;BARBER RD;CARRATHOOL;2711;35.92;H;20130218;20130228;40000;RU1;3;FARM/RURAL;;RMR;;0;AH701509;
C;052;510483;1;20130520 01:16;81/756072;
D;052;510483;1;20130520 01:16;P;;;;;;
D;052;510483;1;20130520 01:16;V;;;;;;
D;052;510483;1;20130520 01:16;V;;;;;;
B;052;509129;2;20130520 01:16;;;4819;CARRATHOOL RD;CARRATHOOL;2711;20.44;H;20130312;20130405;180000;RU1;3;FARM;;RMR;;0;AH710844;
C;052;509129;2;20130520 01:16;1/718530;
D;052;509129;2;20130520 01:16;P;;;;;;
D;052;509129;2;20130520 01:16;P;;;;;;
D;052;509129;2;20130520 01:16;V;;;;;;
B;052;3571646;3;20130520 01:16;PINE LODGE;;1648;BOORGA RD;TABBITA;2652;362.2;H;20101216;20130201;900000;RU1;3;FARM;;RCG;;0;AH704933;
C;052;3571646;3;20130520 01:16;41/751730;
D;052;3571646;3;20130520 01:16;P;;;;;;
D;052;3571646;3;20130520 01:16;P;;;;;;
D;052;3571646;3;20130520 01:16;V;;;;;;
D;052;3571646;3;20130520 01:16;V;;;;;;
Z;18;3;3;10;
