A;RTSALEDATA;012;20160801 01:02;VALNET;
B;012;303559;1;20160801 01:02;;;155 C;MILBRODALE RD;MILBRODALE;2330;41.44;H;20160518;20160704;625000;RU4;3;VINEYARD;;RVC;;0;AK619758;
C;012;303559;1;20160801 01:02;20/877447;
D;012;303559;1;20160801 01:02;P;;;;;;
D;012;303559;1;20160801 01:02;P;;;;;;
D;012;303559;1;20160801 01:02;V;;;;;;
B;012;301492;2;20160801 01:02;;;117;SWEETWATER RD;BELFORD;2335;40.2;H;20160512;20160720;3000000;RU4;3;FARM;;RVC;;0;AK609085;
C;012;301492;2;20160801 01:02;PT 1, 2/1168126;
D;012;301492;2;20160801 01:02;P;;;;;;
D;012;301492;2;20160801 01:02;V;;;;;;
B;012;299283;3;20160801 01:02;;;2;LAWSON AVE;SINGLETON HEIGHTS;2330;551.8;M;20160531;20160715;262500;R1;R;RESIDENCE;;AAG;;0;AK623652;
C;012;299283;3;20160801 01:02;80/565660;
D;012;299283;3;20160801 01:02;P;;;;;;
D;012;299283;3;20160801 01:02;V;;;;;;
B;012;304805;4;20160801 01:02;;;130;WHITE FALLS LANE;WHITTINGHAM;2330;27.53;H;20160622;20160630;815500;RU1;3;FARM;;RRE;;0;AK606365;
C;012;304805;4;20160801 01:02;2, 3, 4, 5, 6/1124149;
D;012;304805;4;20160801 01:02;P;;;;;;
D;012;304805;4;20160801 01:02;V;;;;;;
D;012;304805;4;20160801 01:02;V;;;;;;
B;012;304985;5;20160801 01:02;;;690;LAMBS VALLEY RD;LAMBS VALLEY;2335;47.89;H;20160603;20160711;725000;RU2;R;RESIDENCE;;RRB;;0;AK613460;
C;012;304985;5;20160801 01:02;21/818627;
D;012;304985;5;20160801 01:02;P;;;;;;
D;012;304985;5;20160801 01:02;P;;;;;;
D;012;304985;5;20160801 01:02;V;;;;;;
D;012;304985;5;20160801 01:02;V;;;;;;
Z;26;5;5;14;
