A;RTSALEDATA;538;20180611 01:23;VALNET;
B;538;4086358;1;20180611 01:23;;;6;LEARY PL;TEMORA;2666;1.081;H;20180418;20180521;127000;R5;V;VACANT LAND;;LLT;;0;AN391996;
C;538;4086358;1;20180611 01:23;10/1236963;
D;538;4086358;1;20180611 01:23;P;;;;;;
D;538;4086358;1;20180611 01:23;P;;;;;;
D;538;4086358;1;20180611 01:23;V;;;;;;
B;538;4124411;2;20180611 01:23;;;216;DE BOOS ST;TEMORA;2666;619.7;M;20180424;20180522;215000;;R;RESIDENCE;;;;0;AN375402;
C;538;4124411;2;20180611 01:23;5/23135;
D;538;4124411;2;20180611 01:23;P;;;;;;
D;538;4124411;2;20180611 01:23;V;;;;;;
B;538;4124401;3;20180611 01:23;;;;BURLEY GRIFFIN WAY;TEMORA;2666;225.51;H;20180404;20180424;1365385;;3;FARMLANDS;;;;0;AN331040;
C;538;4124401;3;20180611 01:23;417, 418, 419, 420, 421, 422, 423/750587;
D;538;4124401;3;20180611 01:23;P;;;;;;
D;538;4124401;3;20180611 01:23;P;;;;;;
D;538;4124401;3;20180611 01:23;V;;;;;;
B;538;2691539;4;20180611 01:23;;;12;JAMES ST;TEMORA;2666;870.9;M;20180328;20180528;325000;R1;R;RESIDENCE;;CNT;;0;AN386971;
C;538;2691539;4;20180611 01:23;9/258009;
D;538;2691539;4;20180611 01:23;P;;;;;;
D;538;2691539;4;20180611 01:23;V;;;;;;
D;538;2691539;4;20180611 01:23;V;;;;;;
D;538;2691539;4;20180611 01:23;V;;;;;;
B;538;2690246;5;20180611 01:23;;;24;ASHELFORD ST;TEMORA;2666;1612;M;20180412;20180524;65000;R1;R;RESIDENCE;;AAC;;0;AN386980;
C;538;2690246;5;20180611 01:23;5/18822;
D;538;2690246;5;20180611 01:23;P;;;;;;
D;538;2690246;5;20180611 01:23;P;;;;;;
D;538;2690246;5;20180611 01:23;V;;;;;;
B;538;3176658;6;20180611 01:23;;;70;AIRPORT ST;TEMORA;2666;960;M;20180424;20180601;200000;SP1;3;COMMERCIAL;;ASA;;0;AN388458;
C;538;3176658;6;20180611 01:23;16/1082604;
D;538;3176658;6;20180611 01:23;P;;;;;;
D;538;3176658;6;20180611 01:23;V;;;;;;
B;538;3265693;7;20180611 01:23;;;28;COOTAMUNDRA RD;TEMORA;2666;958.6;M;20180427;20180525;176000;R1;R;RESIDENCE;;AAC;;0;AN395128;
C;538;3265693;7;20180611 01:23;10/1101245;
D;538;3265693;7;20180611 01:23;P;;;;;;
D;538;3265693;7;20180611 01:23;V;;;;;;
B;538;3971315;8;20180611 01:23;;;1;TIMMINS ST;TEMORA;2666;814.3;M;20180502;20180530;87000;R1;V;VACANT LAND;;CNT;;0;AN394212;
C;538;3971315;8;20180611 01:23;7/1223726;
D;538;3971315;8;20180611 01:23;P;;;;;;
D;538;3971315;8;20180611 01:23;V;;;;;;
B;538;3971319;9;20180611 01:23;;;8;TIMMINS ST;TEMORA;2666;815;M;20180501;20180531;92500;R1;V;VACANT LAND;;CNT;;0;AN390960;
C;538;3971319;9;20180611 01:23;11/1223726;
D;538;3971319;9;20180611 01:23;P;;;;;;
D;538;3971319;9;20180611 01:23;V;;;;;;
Z;43;9;9;23;
