A;RTSALEDATA;164;20181105 01:15;VALNET;
B;164;4165086;1;20181105 01:15;;;;SMITHS LANE;CONGARINNI NORTH;2447;2.28;H;20170803;20181019;200000;;V;VACANT LAND;;;;0;AN797757;
C;164;4165086;1;20181105 01:15;2/1246380;
D;164;4165086;1;20181105 01:15;P;;;;;;
B;164;1797675;2;20181105 01:15;;;1;PACIFIC ST;NAMBUCCA HEADS;2448;1251;M;20180907;20181019;445000;R1;R;RESIDENCE;;ANH;;0;AN818661;
C;164;1797675;2;20181105 01:15;9, 10/51/758749;
D;164;1797675;2;20181105 01:15;P;;;;;;
D;164;1797675;2;20181105 01:15;V;;;;;;
D;164;1797675;2;20181105 01:15;V;;;;;;
B;164;1792782;3;20181105 01:15;;;41;BOWRA ST;BOWRAVILLE;2449;885.2;M;20180927;20181029;319000;RU5;R;RESIDENCE;;VBW;;0;AN817648;
C;164;1792782;3;20181105 01:15;2/344708;
D;164;1792782;3;20181105 01:15;P;;;;;;
D;164;1792782;3;20181105 01:15;V;;;;;;
B;164;1796161;4;20181105 01:15;;;28;BENT ST;NAMBUCCA HEADS;2448;568.9;M;20180928;20181026;390000;R1;R;RESIDENCE;;ANH;;0;AN814086;
C;164;1796161;4;20181105 01:15;631/774198;
D;164;1796161;4;20181105 01:15;P;;;;;;
D;164;1796161;4;20181105 01:15;P;;;;;;
D;164;1796161;4;20181105 01:15;V;;;;;;
D;164;1796161;4;20181105 01:15;V;;;;;;
B;164;1796667;5;20181105 01:15;;2;3;GREVILLEA CL;NAMBUCCA HEADS;2448;;;20181005;20181029;328000;;R;RESIDENCE;2;;;0;AN816478;
C;164;1796667;5;20181105 01:15;2/SP45977;
D;164;1796667;5;20181105 01:15;P;;;;;;
D;164;1796667;5;20181105 01:15;V;;;;;;
B;164;1796983;6;20181105 01:15;;;21;LOFTUS ST;NAMBUCCA HEADS;2448;708.2;M;20181010;20181029;350000;R3;R;RESIDENCE;;ACD;;0;AN818398;
C;164;1796983;6;20181105 01:15;13/19/758749;
D;164;1796983;6;20181105 01:15;P;;;;;;
D;164;1796983;6;20181105 01:15;P;;;;;;
D;164;1796983;6;20181105 01:15;V;;;;;;
B;164;1799795;7;20181105 01:15;;;18;MAX GRAHAM DR;VALLA BEACH;2448;635;M;20181009;20181029;470000;R1;R;RESIDENCE;;AAL;;0;AN817650;
C;164;1799795;7;20181105 01:15;16/853585;
D;164;1799795;7;20181105 01:15;P;;;;;;
D;164;1799795;7;20181105 01:15;P;;;;;;
D;164;1799795;7;20181105 01:15;V;;;;;;
D;164;1799795;7;20181105 01:15;V;;;;;;
B;164;3111541;8;20181105 01:15;;;126;MAIN ST;EUNGAI CREEK;2441;2025;M;20180618;20180919;145000;RU5;R;RESIDENCE;;VEU;;0;AN748816;
C;164;3111541;8;20181105 01:15;5/1070974;
D;164;3111541;8;20181105 01:15;P;;;;;;
D;164;3111541;8;20181105 01:15;P;;;;;;
D;164;3111541;8;20181105 01:15;P;;;;;;
D;164;3111541;8;20181105 01:15;P;;;;;;
D;164;3111541;8;20181105 01:15;V;;;;;;
D;164;3111541;8;20181105 01:15;V;;;;;;
B;164;3335222;9;20181105 01:15;;;;MAIN ST;DONNELLYVILLE;2447;;;20180601;20180713;7000;;V;VACANT LAND;;;;0;AN525884;
C;164;3335222;9;20181105 01:15;7001/1055064 Crown Reserve 52848;
D;164;3335222;9;20181105 01:15;P;;;;;;
D;164;3335222;9;20181105 01:15;P;;;;;;
D;164;3335222;9;20181105 01:15;V;;;;;;
Z;48;9;9;28;
